DEPARTMENT,DeptName,avgGPA
MATH, Mathematics,2.4767094861660075
ANAT, Anatomy,2.534349355216882
PHSL, Physiology,2.5813620071684586
LTAM, Latin American Studies,2.79
EAS, Earth and Atmospheric Sciences,2.8301652892561986
SPEA, Public And Envir Affairs,2.834248029955849
AST, Astronomy,2.8423182066703117
ECON, Economics,2.8454054821758272
CHEM, Chemistry,2.8530554117037803
JSTU, Jewish Studies,2.8593360995850627
PHIL, Philosophy,2.859785522788204
ARTH, Art History,2.862253694581281
STAT, Statistics,2.864067346034559
PHYS, Physics,2.8754503560955174
HIST, History,2.9149220978714063
FRIT, French And Italian,2.9157791699295226
HPSC, Hist & Phil Of Sci & Medicine,2.9269026548672565
POLS, Political Science,2.9301712421853767
GEOG, Geography,2.941027027027027
CSCI, Computer Science,2.9609254498714654
HISP, Spanish & Portuguese,2.977164280845263
HISP, Spanish,2.977164280845263
AMST, American Studies,2.993893893893894
CMLT, Comparative Literature,2.998655139289145
ANTH, Anthropology,3.0032106499608457
CJUS, Criminal Justice-Coas,3.0057697800628387
COLL, College of Arts & Sciences,3.0250027012425718
LING, Linguistics,3.034204793028323
CLAS, Classical Studies,3.0491144088080424
SLST, Second Language Studies,3.0559006211180133
AAAD, Afro-American Studies,3.0619823489477263
EALC, East Asian Lang & Culture,3.067718148299877
REL, Religious Studies,3.084225156358582
INTL, International Studies,3.086638323716975
SLHS, Speech Language & Hearing Sci,3.095744680851064
MSCH, Media School,3.107931034482759
ENG, English,3.1192921236291133
GER, Germanic Studies,3.1269261318506754
GER, Germanic Languages,3.1269261318506754
BUS, Business,3.14584677515712
GNDR, Gender Studies,3.1499020248203786
INFO, Informatics,3.1560588757771852
COGS, Cognitive Science,3.169340974212034
LSTU, Labor Studies,3.1858585858585857
MSCI, Medical Sciences,3.189290012033694
PSY, Psychological & Brain Sciences,3.1969848435988397
SEAS, Southeast Asian Studies,3.1970588235294124
ENGR, Intel Sys Engineering,3.197854785478548
LATS, Latino Studies,3.2024793388429744
SOAD, School of Art & Design,3.207380867072734
SOC, Sociology,3.2133894568049706
SWK, Social Work,3.2143851508120656
SPHS, Speech & Hearing Sciences,3.2166589967786465
HUBI, Human Biology,3.2305050505050503
BIOL, Biology,3.2336411128659943
SPH, Public Health,3.2499708539784318
FOLK, Folklore and Ethnomusicology,3.251341127922972
GLLC, Global Village Lvg-Lrng Center,3.2549019607843137
EDUC, Education,3.2719985707479755
CEUS, Central Eurasian Studies,3.280769230769231
EURO, European Studies,3.3078431372549018
TOPT, Optometric Technology,3.309090909090909
AFRI, African Studies,3.310835214446952
ABEH, Animal Behavior,3.3139830508474573
SLAV, Slav&East Euro Lang & Cultures,3.3142857142857136
BIOT, Biology,3.3296296296296304
LAMP, Liberal Arts And Mgmt Program,3.3632142857142853
CLLC, Collins Living-Learning Center,3.372811059907834
INST, India Studies,3.386153846153846
NELC, Near Eastern Lang & Cult,3.4116228070175434
PACE, Political and Civic Engagement,3.4198067632850235
NURS, Nursing,3.501465614430666
MELC, Middle Eastern Lang & Cultures,3.537313432835821
MUS, Music,3.5400668576886347
THTR, Theatre Drama & Cntmp Dance,3.5560838637214522
ILS, Information & Library Science,3.593518518518519
HON, Honors,3.6065925337569507
MLS, Molecular Life Science Program,3.616981132075472
IMP, Individualized Major Program,3.632142857142857
SGIS, College A&S Global & Intl St,3.701047120418848
AAST, Asian American Studies,3.7194690265486723
MIL, Military,3.7292079207920796
AERO, Aerospace Studies,3.9000000000000004
